"Calendar.Year","total_taxable","cons_share","est_top1_transactions","est_tax_revenue"
2010,172875115188,0.0789418201693507,13647076254.9269,989413028.482198
2011,187783124680,0.0714765701835581,13422093690.4779,973101792.559644
2012,201376610087,0.0530213344256686,10677256588.9303,774101102.697447
2013,209407095082,0.0346041825473553,7246361344.92892,525361197.507346
2014,220843745000,0.0308736593377389,6818254550.00048,494323454.875035
2015,228058817860,0.0467436068912168,10660291730.1235,772871150.43395
2016,232543209878,0.0480646714534745,11177112981.5224,810340691.160376
2017,239639480815,0.036857865237139,8832599689.37722,640363477.479848
2018,249266687113,0.0577863729068235,14404217734.7603,1044305785.77012
2019,258558757027,0.0516690539067283,13359486354.8847,968562760.729143
2020,234512425359,0.0469991592820046,11021886833.0569,799086795.396622
2021,281664736131,0.0348439795049563,9814320293.01749,711538221.243768
2022,312999651948,0.0428504077683474,13412162717.3226,972381797.00589
2023,306805477728,0.0408511421642075,12533354187.4241,908668178.58825
2024,304079556396,0.0445797475594077,13555789862.1103,982794765.003
