"Assessment Year From","Assessment Year To","County","Land Assessed Value","Improvements Assessed Value","Personal Property Assessed Value","Exemptions","Net Total","Year To Year Change (%)"
"2025","2026","Alameda","135044436000","305395919000","17376748000","14962051000","442855052000","3.7"
"2025","2026","Alpine","289461000","703189000","37687000","1170000","1029167000","6.5"
"2025","2026","Amador","2423518000","5183124000","206271000","221724000","7591189000","5"
"2025","2026","Butte","11096022000","20952904000","1855735000","2003403000","31901258000","6.3"
"2025","2026","Calaveras","2511118000","8322689000","234249000","135290000","10932766000","5.2"
"2025","2026","Colusa","1966325000","3253624000","447182000","90457000","5576674000","2.8"
"2025","2026","Contra Costa","137562954000","163643592000","4677896000","9910957000","295973485000","4.2"
"2025","2026","Del Norte","1079474000","1847344000","148401000","195258000","2879961000","5.7"
"2025","2026","El Dorado","14396033000","33665760000","1155835000","957019000","48260608000","4.8"
"2025","2026","Fresno","33713369000","88968898000","6514595000","5307673000","123889189000","6.4"
"2025","2026","Glenn","1644554000","2665555000","483426000","87162000","4706373000","5.3"
"2025","2026","Humboldt","7177235000","12057325000","899328000","984482000","19149406000","3.7"
"2025","2026","Imperial","6236523000","11563249000","1973099000","666561000","19106309000","7.6"
"2025","2026","Inyo","4355422000","2125889000","228419000","98231000","6611499000","5.2"
"2025","2026","Kern","33540025000","95679907000","5007800000","3870265000","130357467000","3"
"2025","2026","Kings","4466174000","11987402000","1498913000","817358000","17135131000","4.6"
"2025","2026","Lake","3675856000","7047664000","323394000","528840000","10518074000","3.9"
"2025","2026","Lassen","977600000","1959590000","171863000","94619000","3014435000","3"
"2025","2026","Los Angeles","1223031159000","998347611000","69435257000","77591923000","2213222104000","3.9"
"2025","2026","Madera","6132338000","16733825000","1427823000","1048587000","23245399000","6.3"
"2025","2026","Marin","56806737000","56402574000","1655833000","3261160000","111603984000","4.4"
"2025","2026","Mariposa","1174248000","2219009000","111240000","64238000","3440259000","4.4"
"2025","2026","Mendocino","6586335000","9123698000","762635000","527811000","15944858000","3.7"
"2025","2026","Merced","11583292000","25631931000","1816518000","1162436000","37869305000","4.5"
"2025","2026","Modoc","603739000","760741000","182435000","26349000","1520565000","3.9"
"2025","2026","Mono","2897198000","6526714000","207217000","113950000","9517179000","5.2"
