"Calendar Year","Quarter","Quarter Month from","Quarter Month to","County code","County","Permit Date","Permits: Incorporated Cities","Permits: Outside Incorporated Cities","Permits: Allocated Countywide","Total Permits","Taxable Transactions: Incorporated Cities","Taxable Transactions: Outside Incorporated Cities","Taxable Transactions: Unallocated","Total Taxable Transactions","Yearly Percentage Change (%)","Per Capita"
"2025","Q3","7","9","1","Alameda","9/30/2025","45032","2757","","47789","7881028965","253741762","1947096056","10081866783","1.11","6064.35"
"2025","Q3","7","9","10","Fresno","9/30/2025","20645","4173","","24818","4407813163","593189128","918489745","5919492036","2.15","5707.99"
"2025","Q3","7","9","11","Glenn","9/30/2025","577","336","","913","74980222","49967190","25183553","150130965","-2.84","5111.89"
"2025","Q3","7","9","12","Humboldt","9/30/2025","3032","2669","","5701","356076361","106498556","136162625","598737542","1.2","4474.3"
"2025","Q3","7","9","13","Imperial","9/30/2025","3199","576","","3775","568527739","72984360","203630711","845142810","-6.55","4531.62"
"2025","Q3","7","9","14","Inyo","9/30/2025","351","395","","746","56021478","41730915","31941348","129693741","6.32","6898.6"
"2025","Q3","7","9","15","Kern","9/30/2025","15181","7850","","23031","2890091764","1819627931","834961660","5544681355","2.41","6000.99"
"2025","Q3","7","9","16","Kings","9/30/2025","2199","501","","2700","431410209","67906163","120446617","619762989","-14.3","4024.04"
"2025","Q3","7","9","17","Lake","9/30/2025","627","1218","","1845","69007007","79579802","53070911","201657720","-5.17","2998.45"
"2025","Q3","7","9","18","Lassen","9/30/2025","310","403","","713","39130951","25526026","32149940","96806917","3.99","3371.18"
"2025","Q3","7","9","19","Los Angeles","9/30/2025","326550","22429","1","348980","39391346868","1832052289","9525785626","50749184783","1.29","5138.22"
"2025","Q3","7","9","2","Alpine","9/30/2025","","81","","81","","3614085","4448730","8062815","-8.96","6850.31"
"2025","Q3","7","9","20","Madera","9/30/2025","1789","1769","","3558","288201806","203358286","142100920","633661012","-1.36","3897.08"
"2025","Q3","7","9","21","Marin","9/30/2025","7919","1731","","9650","1189993711","136920152","339188287","1666102150","1.73","6545.28"
"2025","Q3","7","9","22","Mariposa","9/30/2025","","663","","663","","68224538","17375631","85600169","-0.36","5060.01"
"2025","Q3","7","9","23","Mendocino","9/30/2025","1492","2570","","4062","205583482","151804845","98244141","455632468","3.02","5072.33"
"2025","Q3","7","9","24","Merced","9/30/2025","3791","1337","","5128","647488217","229284292","279106207","1155878716","9.43","3943.9"
"2025","Q3","7","9","25","Modoc","9/30/2025","154","230","","384","11098838","5949312","15198298","32246448","3.34","3797.72"
"2025","Q3","7","9","26","Mono","9/30/2025","438","264","","702","66857281","30108660","33710520","130676461","-2.55","10302.46"
"2025","Q3","7","9","27","Monterey","9/30/2025","9061","3310","","12371","1753493434","366803784","425072722","2545369940","4.81","5800.34"
