"K","mean","median","p05","p10","p25","p75","p90","p95","sd","mean_fy25","median_fy25","p05_fy25","p10_fy25","p25_fy25","p75_fy25","p90_fy25","p95_fy25"
212,3.85735704119891,3.85735704119891,3.85735704119891,3.85735704119891,3.85735704119891,3.85735704119891,3.85735704119891,3.85735704119891,1.11790524558509e-15,5.15009291446557,5.15009291446557,5.15009291446557,5.15009291446557,5.15009291446557,5.15009291446557,5.15009291446557,5.15009291446557
250,3.4723737787152,3.49913628028499,3.20570748940061,3.27522042494436,3.38943622117885,3.57634415149746,3.62831737204672,3.65362166091392,0.138498375739626,4.63608823428462,4.67181979043456,4.2800527020646,4.37286186465544,4.52535538719555,4.77490273199932,4.84429400484075,4.87807864997696
300,3.08815201513144,3.10359603575855,2.77014299033909,2.84228524991056,2.96748828859559,3.22272043228481,3.3092962124662,3.35299022029477,0.178636960494347,4.12310025804036,4.14372011260736,3.69851523575003,3.79483490123194,3.961997877206,4.30276727986134,4.41835764583326,4.47669505088005
350,2.79566866955646,2.80347249855078,2.46508032117371,2.53496470668678,2.65956297149761,2.93864890674144,3.04367769126868,3.10028041456708,0.193835039101047,3.73259546692132,3.74301463320023,3.29121534772923,3.38452044622505,3.55087596735087,3.92349340521695,4.06372102563981,4.13929331025984
400,2.56501526100622,2.56689113160629,2.23187814632578,2.29957677500358,2.4225053485895,2.70993602668691,2.82682379549563,2.89065062431965,0.200465857325688,3.42464199712722,3.42714653787434,2.97985893049983,3.07024574824802,3.23437200595464,3.61813080319821,3.77419177020227,3.85940921192948
450,2.37472989734344,2.3726208653883,2.04732545953922,2.1112447722391,2.22841486639845,2.51897120443664,2.64172790645852,2.70917221280917,0.201991696268136,3.17058532239908,3.16776947973465,2.7334561540875,2.8187970742868,2.97523498378604,3.36316695943703,3.52706374537975,3.61711100845333
500,2.21676356252784,2.21117068697343,1.89471358543056,1.95551471840747,2.06998111570817,2.35928555637269,2.48542493449937,2.55588942147966,0.201676808382107,2.95967891861825,2.95221167395913,2.52969867892621,2.6108764078197,2.76370451664821,3.14996504013002,3.31837815579105,3.41245776813771
550,2.08472508885176,2.07659069736173,1.76968453029271,1.8286708579034,1.93675265980232,2.22472109760688,2.35411384486135,2.42832236414931,0.200934232827915,2.7833897132237,2.77252920134242,2.36276799449891,2.44152271298454,2.58582652416851,2.97030330329135,3.14306010638245,3.24213850781016
600,1.96852465359408,1.95697207619775,1.66261450400863,1.71781444273879,1.82191056708247,2.10552143621057,2.23585219629134,2.30902823904103,0.198018360196661,2.62824642939318,2.61282217740996,2.2198150404872,2.29351441814314,2.43249681118578,2.81115564726493,2.98516482423763,3.08286472996289
650,1.86803910646716,1.85577922778034,1.57017977196253,1.62378579030652,1.72432001941614,2.00100358687264,2.1316853372888,2.20638631555241,0.194428114370368,2.49408464485075,2.47771605006348,2.09640218202565,2.16797346057141,2.30220024213939,2.67161019436509,2.84608799086667,2.94582389157538
700,1.7800359391141,1.76623942442444,1.48866369623209,1.54097341948647,1.63814332621584,1.9100682289212,2.04041084318523,2.11577242162274,0.191619886956366,2.3765885241145,2.35816831260993,1.9875672052396,2.05740775466572,2.1871427112179,2.55019920293804,2.72422420684731,2.82484209805847
750,1.70046366193306,1.68477142548915,1.4171768544397,1.46621725095547,1.56041351061809,1.82680268038764,1.95928857081952,2.0338368601924,0.188723431734232,2.27034878106739,2.24939752484227,1.89212261106274,1.9575981674919,2.08336290336578,2.43902844354458,2.61591501076984,2.71544705117581
800,1.62855929275437,1.61160670875063,1.35228306348703,1.40075942320098,1.4907919715531,1.75149486509402,1.88252868124404,1.95894339598345,0.185385309542572,2.17434673140719,2.15171274087246,1.80548063070971,1.87020312178726,1.99040874039793,2.33848233339581,2.51343018522854,2.61545415571844
850,1.56595746103025,1.54827203937829,1.29654201493386,1.34223533367993,1.42990785598178,1.68610622542642,1.81785721592213,1.89402610240342,0.182885616807222,2.0907648263485,2.06715239852129,1.7310587983171,1.7920655536159,1.90912021852703,2.25117966313689,2.42708503963657,2.52878079618187
900,1.50760685543219,1.48836505176004,1.24710629931061,1.29105377815654,1.37487154365461,1.62358480595381,1.75396863975586,1.82945867439259,0.178432554280743,2.01285888265811,1.98716847451206,1.66505543745795,1.72373126056576,1.83563930423075,2.1677051193005,2.34178515686323,2.4425745544593
950,1.45568539542672,1.43627245436781,1.19908397580343,1.24182848130582,1.32391870274032,1.57097906716412,1.69892761139788,1.77587427923606,0.176825044415913,1.94353671713729,1.91761781745323,1.60093914607268,1.65800883720291,1.76761037609113,2.09746934913263,2.26829794602852,2.37103214579084
1000,1.40598456184157,1.3851798365461,1.15585697519242,1.19672308988658,1.27622784599968,1.51830552718912,1.64674660448682,1.7213700265046,0.173901332110271,1.87717938797226,1.84940226825344,1.54322525877043,1.59778704433506,1.70393663763201,2.02714305522007,2.19862925031483,2.29826160295479
